input,gt
"1: So easy, abc
",0
"B: Okay go mid
A: See a cs
B: Okay
A: I'm mid
C: Let me ceci
A: Go mid
C: Also roam dly
A: Go mid
C: Come
A: Or do some cool explosive damage
",0
"B: 谁需要游走英雄 组队
C: 谁需要游走英雄和法师 组队
D: -1 邀请
E: -1 游走神话荣誉
F: -1 三排荣誉
G: -1 经验神话荣誉 
H: -1 输出英雄
I: 邀请谁是-1
",0
,0
"B:哈哈哈  
C:我高兴
D:52533
E:哈哈哈
F:哈哈哈
G:1/哭得更厉害吧
H:哈哈哈  
I:1/对不起,网络不好
J:哈哈哈
K:1/延迟
L:1/哈哈哈
M:1/我和弗兰科去抢击
N:50794
",0
"B: Just ask your dad 
C: You don't need to win
D: The most important thing is freestyle
",0
"
B: 狗东西
   狗
   狗东西

C: 狗
   狗
   狗
   狗东西  

A: 狗

B: 狗东西
   狗
   狗东西
   狗东西
   狗东西

C: 狗
   狗东西

A: 傻逼玩意儿
   傻逼玩意儿

B: 狗东西
   狗东西

C: 狗东西
   狗

A: 傻逼玩意儿
   狗

B: 狗
   狗东西
   狗东西

C: 狗东西  
   狗
",0
,0
"B: 报告
C: 1/报告
A: 你在哪里,居然敢这么说
B: 你只会空话,从来不会做事
",0
"A: 不哭不哭  
A: 我没看你哭
A: 拉法拉取的那个女人
A: 女人果然是这样的
A: 但是,我的早安呢?
A: :c
B: 嘘嘘嘘
B: 嘘嘘嘘
A: zzz  
A: zzz
A: zzz
A: 哎,我要哭了
",0
"B: Me me me
C: Come here you bastard! 
A: Me me me, what now? 
B: Still a tank who doesn't know how to set 
",0
"B: 你的朋友y joy s5\n 
C: 数学那个co哈哈哈\n
A: 不用那么激动,克林特。我有蒙顿的手机号码。我会发给你看的。你会哭的。\n
B: 好的\n
C: 看起来克林特很激动\n
B: 好的,晚上你就明白了\n
A: 我们来玩吧
",0
,0
,0
"B: music
A: get emotional again bro
",0
"B: what what haha
C: don't be able to stun me haha
D: 1-7 Hahahahaha
E: Want 1 skin of Wanwan haha
",0
"B:摩斯科夫,你去死吧,和你爸爸在一起
C:裂开你妈的逼生出你这个孩子
D:摩斯科夫什么时候变成关键输出?
E:孩子?如果你妈妈当着我的面张开大腿,你就会有个新的弟弟,这才知道
F:可怜摩斯科夫的妈妈
G:我已经浪费了敌人的大招
H:看起来投掷者阿蒙像个小丑
I:希尔瓦娜要大招了
J:所有人没有大招
K: 50794
L:没有凤凰的大招
",0
,0
"B: 我是法师
A: 我是刺客
B: 好的
A:地图吧,Hanzo
A: 我刚上班所以先庆祝下用troll把
",0
"
B: 攻击性言论无助于改善游戏体验。我们应该集中精力打好比赛。

A: 我明白你的失望,但责骂队友不会带来正面结果。我们仍可以一起努力。

B: 你说的对,我感到沮丧时过于情绪化了。我们继续坚持下去,改善团队配合。

A: 没关系,这局我们表现不佳,但仍有机会反败为胜。让我们保持optimistic并相互鼓励。

B: 是的,不应该轻易放弃。我们会思考这局教训,下一局会做得更好。

A: 一语中的。我们会从这局失败中汲取经验,提升个人技术和团队协作。加油!
",0
"B: 看那个坦克  
C: 清洗和做作业。他在打野   
D: 1/坦克背包  
E: 哦,太糟糕了。我觉得不好  
",0
"B: Frey can fight Gloo
C: The problem is Bane came
D: Early in last game knocked this 
E: Serious about women's stuff bye
F: That's it hahahah
G: Loo
H: Hahahahhaa Bana
I: Last
J: Arrogant bye now haha
K: Go on he's just quiet
L: Sorry bro friend logged on 
M: Too early I entered hahaha
N: Lets go there didn't expect jungle so close hahahaha
O: Alright
",0
"B: No Translation
A: 真他妈的
B: 是啊 真他妈的
A: 真他妈的  
B: 莱斯莱面对我
A: 真他妈的
",0
,0
"B: 哈哈
C: 50794
B:笑死
D: 52533
A:戳一戳
",0
"No Translation

",0
"B: 真是个超棒的游戏啊
A: 哈哈
A: 可惜啦可惜啦
B: 真是个垃圾游戏
A: 好吧 好吧
B: 真烦人
",0
"A: 滚吧乌龟
",0
"B: 哈哈哈  
C: 别这样米亚,他想从乱斗中得到WR(胜利者排名)
",0
"B: I'm in front of the turret
C: You don't dare to deal damage
D: Franco, you
E: Mm opponent 
F: Mm we have no damage
G: Let's go to the turret first
H: 1/5 what?
A: Lol what's damage mm?
",0
"B: well I'm not on epic 
C: 52533
D: 50794
E: 50794
F: that yin is epic is expensive
G: don't see that son is a tank
H: 1/chocolate
I: the 2 mages have short cool down
",0
"No Translation

",0
"A:投降
B:多谢
A:1/你这墨西哥佬就是这样的兄弟
B:投降
A:1/不要
A:1/更多墨西哥佬
A:1/墨西哥佬
",0
"B: I'm waiting for you at base
A: Really?
C: 50794
D: 52530
C: That mage is OP why didn't he die with so many hits
",0
,0
"B: No Translation
C: No Translation
A: No Translation
B: No Translation
C: No Translation
A: 要去上个厕所
B: 好的
C: 改改你的射击吧
A: 哦
B: 在大招的时候被秒了
C: 呵呵
A: 太烦人了
B: 哈?
C: 好吧,改改射击
",0
,0
,0
"B: 嗨马来西亚女孩 联系吧  
A: 一起玩吧,我很擅长
C: 喜欢我相册能得到50钻真的!!!
D: 哪个-1 中路/打野 找我
A: 想认识马来西亚女生
B: 买一个战士?  
C: 买一个周?
B: 买一个战士?
A: 买一个战士
C: 喜欢我相册真能得到50钻不骗人
",0
"B: 最近与莱思配合获得MVP,13/4/8的成绩。可靠的队友!
",0
"B:不要一个人排位 跟我组队 我给你当伺候
哈哈哈
#39 
排位走起
来这里
bban你说什么呢
#38
噢
嗯 太好吃了
你妈的 我要吃烂你 我要买你妈
噢 MVP靠偷吗?
bban 渣渣
试试用我大号 游戏我给你恶心到吐 直接踩你脸上
还自己先去玩  来组队我给你当伺候
我发的组队邀请 为了保持连胜 
注意自己KDA就行 啧啧啧
#49
就注意KDA赢的 渣渣
MVP也就靠3-3-12 得到的吧 试问有用吗?
渣渣  操你妈的啦
伺候起来 哈?
你妈的 我要吃烂你  玩英雄联盟去吧
亏我带的是小号
不如买你妈 我直接买大脑吧
太好吃了
行了 闭嘴吧
",0
,0
,0
"A: plis all in
",0
,0
"A: 船长
B: 怎么了?\n 
A: 命名
",0
"B: 1/核心 \n
C: 50794\n
D: 买死吧 双排\n
E: 哈哈哈\n
F: 买死吧 那个法利尔\n 
G: 1/哎哟\n
H: 你们就永远呆在两边?\n
I: 3打2\n
J: 举报\n
K: 好运\n
L: 砸他
",0
"B:我们3打1
C:我们1对1
",0
,0
"B: Sans is overused in gb lol.
C: Sans can work.  
A: Don't troll please.
B: No trolling. Sans can work.
C: Badang is trash report him.
",0
,0
"C: 我是安吉拉 (I am Angela)
1/wih 我是安吉拉:
A: 哈哈 (Haha)
50794:
B: 教 (Teaching)
1/tutorin 教:
A: 哈哈 (Haha)
",0
"B: 我们没有
C: 你最近怎么样
D: 只会简单的目标都做不到 真他妈搞笑
E: 只连了两根电缆就搞定了 很搞笑哈哈哈
",0
"B: have you been left hungry
Izzi: 
to the lobby
difficulty 0
tutorial in process
the bots kill me I'm so bad
the AI kills me :(
",0
,0
,0
"B: alice, be sure to pick ik
C: hhh
D: just breathe, it's good that she is the uncle hahaha
E: want to die
F: breathe
",0
,0
,0
"B: 50794
C: I don't care
D: Go to Pokke
A: 1/ You can't tank
B: 1/ Okay 
C: 1/ Troll
D: 1/ All your buffs are gone
A: Let it be
B: 1/ I told you I can't tank
C: Under Monster Hunter Pokke
D: 52533
",0
,0
,0
"B: 别哭得这么厉害,把手机都弄湿了
A: 对的,妈妈
C: 专心游戏吧  
A: 1到5点  
B: 2到6点:)
A: 你是坦克,我没有看到游走
B: 你还是坦克
A: 损坏? 你妈妈是的 哈哈哈  
C: 我的主力是汪汪XD  
B: JSKAKAKJAA  
A: 这是经典模式 XD
B: 被禁赛了?
A: 不,我哭了  
B: PVP?
A: 2-5点
",0
,0
"B:未翻译
C:未翻译
A:未翻译
B:未翻译
C:未翻译
A:未翻译
B:未翻译 
C:未翻译
A:未翻译
B:未翻译
C:未翻译
A:未翻译
B:未翻译
C:未翻译
A: BOT
B: y
C:未翻译
",0
"A: atlas baik-baik saja??\nB: ngaca\nA: kenapa kau atlas\nA: bisa ada diggi\nkarena kamu tidak mau soning
",0
,0
"B:哈哈闭上你的嘴
",0
"B: Tall blonde
C: Let's play later
D: Backpack
E: You're not that good
F: Of course
G: Take it easy we can play later
H: Ok
I: Can I join?
",0
,0
"B: 果酱能不能团一起?
A: 你这B,赶紧推进。
B: 好的,我这就去推
C: 可以配合一下打架吗?
B: 可以可以,一起上!
",0
"B: 很有趣
C: 很有趣
D:就用经典阵容没关系
A: 你真可笑只用经典阵容
B: 真的吗?你玩到五阶了?  
C: 嫉妒什么? 
D: 你以为你很强吗?为什么不五个人一起玩?
A: 对不起,哥们
",0
"Domina: 
Stay up so late, go to sleep
1/Tank?
Be patient  
Rom doing what
Rom making damage for what
Dominance
Hmm lol
Sleep
Rom has been 
Relax bro
1/S4 what
1/Why make damage Faramis 
1/Sorry
1/Want to core?
1/Looking for tank?
",0
"B: 调整什么?  
A: 打中单吧。  
B: 你中单吧,我打射手。  
A: 妈的,玩法师真他妈刺激。
",0
"A: 减1 
A: 减1
A: 减1
A: 减1
B: 光荣
B: 光荣
B: 好的
B: 
B:
",0
"
B: 聚集制作视频

C: 哈哈,你疯了吗?和我和平相处,我会帮助你的。哥们,别攻击我,我在帮主人啊。
",0
"B: 52532
C: hyper 哇呀!
B: 怎么回事啊  
",0
"B: 我的学生  
C: 确实弱  
A: 过来  
B: 过来  
C: 提升排名太难了 装备太少  
A: 过来  
B: 是的  
C: 懒得玩了  
A: 哥们 商店  
B: 一起玩  
C: 一起玩  
B: 一起玩
",0
,0
"1/ A: No translation
C: Come on Harley, don't give up!
B: How many times are you going to use Lord, man? 
B: Did you get mental boom, lol?
1/ A: No translation
",0
"B: 52531 
C: ? 
A: 让,我们要过去。别挡路
B: 为什么? 
D: 指导莱丝蒂
E: 你妈和你爸配对哈莱丝蒂哈哈
C: 拜拜莱丝蒂
A: 快点让开
B: 你看看你妈跟你爸配对的多好笑
C: 哈哈,你妈和你爸配对很有趣吧莱丝蒂?
D: 这样玩吗莱丝蒂?
C: 拜拜莱丝蒂
D: 拜拜你敢不敢
",0
,0
"B: hilda wait for blue buff 
A: r
C: push minion  
B: k , conceal
B: why me
C: saber make u lose face
C: saber u can lock mage
B: lol
",0
,0
,0
"A: 怨恨的人都是这样的   
A: 加油啊,大哥
A: 就这些?大哥?  
A: 怨恨?
A: 嘘嘘
A: 哈哈哈
B: 嘘嘘
",0
,0
,0
"B: 好有意思
C: 你也超级兴奋
D: 要小心杀人啊
E: 0 6 1 
F: 0 6 1
G: 你是花多少钱买的账号?
H: 1/求人 赛琳娜要去哪里?
I: 1/害怕吗?想经验值是吧?
J: 有镜子的请给我
K: 0 5 1
L: 1/大家克劳德的克制是什么?好痛啊
",0
,0
"B: 困惑
C: 垃圾
D: 奇怪的经验
E: 射线吧
F: 
",0
,0
"A: -1
A: rank
A: rank
",0
"B: 需要玩家
C: 速战进入游戏
A: 需要玩家
B: 开始了
A: 需要玩家
A: 需要我的队友吗?
A: 需要玩家
",0
,0
,0
,0
,0
"C: Oh nice
C: What would be good to go troll???? 
C: Maybe a jungle Harley
XD
Cheer up that buff xd
C: Yeah that'll be it  
XD
Thank the easy star xd
XD hahaha
Report not working but oh well xd
How lame xd
Cheer up everything will work out
I've been reported for trolling too but not banned yet xd
",0
,0
,0
,0
"B: 没有翻译  
C: 没有翻译
D: 没有翻译
E: 没有翻译
F: 没有翻译
G: 没有翻译
H: 没有翻译
I: 没有翻译
J: 没有翻译
K: 没有翻译
L: 没有翻译
M: 没有翻译
N: 没有翻译
O: 没有翻译
P: 没有翻译
Q: 没有翻译
",0
,0
"A: 1 / herly gk meta kh?
A: lupa kqkw
",0
,0
,0
"B: 看起来你们的后卫线被占领了
C: 你们为什么要推进到敌方阵地?
D: 闭嘴吧,新手
E: 白费力气,后卫了
F: 好的
G: 1/9 你这个菜鸟
",0
,0
"B: 别进攻了
C: 上帝啊,mm再也得不到任何击杀伤害了
A: 我给了你所有东西,结果你还是什么都没有
A: 你应该把所有击杀伤害留给我们,我们只帮助推塔
A: 可是你啥都没有
A: 你只会当个坦克了
B: 敌人都紧张兮兮的
C: 啥情况,怎么mm那么多啊,哈哈
A:伙计,加油!
",0
"B: 再见:)
C: 拉斐尔进来了 拉斐尔:)
A: 来吧
B: 不留情:)
C: 电话又卡了 
A: 谁知道呢
B: 嘘嘘嘘
",0
"B: 仔仔仔 
A: 再联系 
",0
"B: 哈哈
C: 是的对
D: 很好玩
E: 杀呀
F: 让他们反抗一点
",0
"B: #30  
C: What?
A: #114 #20
",0
,0
"B: 等一下
B: 我要告诉你  
A: 嗯 什么 
B: 滚开 你这个混蛋
B: 白痴 你 
A: 滚开
",0
"B:吵死了
A:吵死了
B:别闹
A:你好嘛
B:哈哈哈
A:那是什么
B:来看看
A:传送过来
B:一会儿吧
A:治疗晚了
B:别闹
A:真的吗
",0
,0
"B: I'll teach you how to play LOL
C: Boring and easy  
A: lol You losers are all auto champions 
A: lol You losers are all auto champions
C: Boring and easy
A: lol You losers are all auto champions
",0
"B: 52530
C: rafael joined rafael:)
D: bye:)
E: let's go 
F: no mercy :)
G: who knows
H: shhhsss
I: the phone lagged again
",0
"B: No Translation\n
C: slot open?\n
D: are you playing?\n
E: yea no problem\n
F: ok? done\n
G: thanks bro\n
H: thanks bro\n
I: yea it's not a big deal don't get upset\n  
J: haha getting upset\n
K: there you go getting mad again\n
L: chill\n
M: 6.9\n
N: don't get upset okay\n
O: go learn more bro\n
P: right\n
Q: invite
",0
"B: 英雄
C: 跟阴霜说
D: 他们都在哪里笑死我了
A:随便
B: 阴霝在中路
C: 控制中路的英雄就是中路的主宰
D: 没错伙计
A: 太强了
B: 太牛逼了
C: 这个阴霝很可爱
D: 没错
A: 好的
C: 阴霝直到审判日都躲着不露面哈哈
D: 游戏这么长时间了还没给我上buff
A: 结束了
C: 不是结束
B: 阴霝在紫色的野区
C: 正在赶往紫色野区
A: 我要摧毁,来吧伙计们
C: 噢,这样
D:没事
",0
,0
,0
"B: why always have team like this
",0
,0
"B: kroco bot 
C: kroco tengil
A: kroco
B: Just ask the bot
C: Funny
",0
,0
"A: Why don't you know how to play mage? 
B: What the fuck, why did you want to play mage then?
",0
"A: A fat guy with an apprentice emblem
A: Let's see what this beginner Leslie can do  
A: Let's see how it goes
B: Yes you can see he knows how to play
B: Nice
A: Epic!
",0
"B:上单 
C:依靠
D:哈哈哈
",0
,0
"A: No Translation.
B: serius\npqqke\nboth\nrataaaaa\nllah\nlag\nserius\nnr
A: Yeah right\nwhatever\nboth\nso annoying\nCome on\nlag\nyeah right\nNah
C:  orenq ngelawax mulu\nlawalalalalal both
A: You just keep kidding around\nso funnyyyyyy both
B: lapu2 msa klh sma nana  
A: Shut up before I beat you up with Nana
",0
,0
"B: Can you guys solo? Or do you need each other?  
C: I want to learn how to use Kagura.
D: Yeah.
E: Hanzo!
F: He's not here.
G: No 2 vs 1.
H: Give Kagura tips.
I: Haha.
J: Other noobs.  
K: Haha.
L: How I like it.
M: Haha your what.
",0
,0
"B: wakakakakakakakakakakakakakakkakakaakakakakak
C: hahahahahahahahahha
D: hahahahahahahahahaha
E: hahahahahahah
F: faster laaaaa
G: hahahahahahhaha
",0
,0
,0
"B: 52533
C: Shut up fredrinn
A: 1/Shut up fredrinn
",0
"B: gua masih mending mau tenk mlas sama mm\n52530
A: No Translation
B: I'm still better than tank, too lazy to matchmake
",0
,0
"B:第52530行,巴尔蒙不要去窃取资源了
C:算了吧
D:他已经有风暴之怒了,别找麻烦了
E:值得三思
F:我用超级英雄,但你还是投降吧
G:好吧,我们投降
",0
"A: 然后呢  
B:听不懂
C:哈哈哈 老子把你的英雄全杀了 清楚吗
D:算了吧 阿特拉斯你也打不过 但在逞强
B:真敢逼逼 妈的 阿特拉斯你也打不过别装了
",0
"B: sudah, sudah
C: selamat bermain
D: malas bermain dengan dia
E: tolong aku
F: o 
G: n
H: t
I: l
J: musuh terlihat
K: maju
L: aku punya ini  
M: punya
N: ok
O: no
P: kerja bagus
",0
,0
"B: 免费击杀brody
C: 立即结束他
A: 不好意思,你还好吗?
B: 离开那里,去混战
C: 我要卖掉这个
A: 好的
",0
"B: 11
A: 我很好
A: 我有点延迟
C: 42
A: 好的 再见
B: 嗨。
B: 你好吗
B: 一起玩吧
A: 太简单了
C: 14
B: 我要去吃饭了
A: 好游戏 谢谢比赛
",0
"B: Bot回来了吗? 没有辅助!
A: 你什么时候来打BOT啊?
B: 你不做你的工作还批评别人,绝对举报你。
A: 你知道拉线阶段是什么吗?
B: Harley又送人头了!
A: 算了,我认输了。
B: 要是你集火就赢了。
A: 哈哈哈
B:哈哈
A: 1/冷静点,你可以的
B: Carmilla难度大
B: 你不知道拉线阶段后要旋转吗?
B: 我在这有2个人呢
B: 你知道什么是积压优势和发育吗? 
B: Harley整局住BOT!
B: 哈哈哈
A: 要是辅助做了他的工作就好了
B: 白金!
A: 1/太棒了
B: 白金!
B: 我才不会自杀
B: 我又不是你们
B: 超神!
B: 你的屁股眼里!
A: 1/收下你的白金!
",0
"A: 快点儿
A: 是的哥们
C:什么是SUREN
A: 好的 音乐
A: 要求
",0
,0
"A: 不不不
A: ???
A: 滚犊子
要检举安吉拉
",0
"B: 赞赏个人主页。点赞回馈#21
C: 赞赏个人主页。点赞回馈#21
D: 赞赏个人主页。点赞回馈#21
E: 赞赏个人主页。点赞回馈#21
F: 赞赏个人主页。点赞回馈#21
G: 赞赏个人主页。点赞回馈#21  
H: 赞赏个人主页。点赞回馈#21
I: 赞赏个人主页。点赞回馈#21
J: 赞赏个人主页。点赞回馈#21
K: 赞赏个人主页。点赞回馈#21
L: 赞赏个人主页。点赞回馈#21
M: 赞赏个人主页。点赞回馈#21
N: 赞赏个人主页。点赞回馈#21
O: 赞赏个人主页。点赞回馈#21
P: 赞赏个人主页。点赞回馈#22
Q: 赞赏个人主页。点赞回馈#21
R: 赞赏个人主页。点赞回馈#21
S: 赞赏个人主页。点赞回馈#21
T: 赞赏个人主页。点赞回馈#21
U: 赞赏个人主页。点赞回馈#21
V: 赞赏个人主页。点赞回馈#21
W: 赞赏个人主页。点赞回馈#21
X: 赞赏个人主页。点赞回馈#21
Y: 赞赏个人主页。点赞回馈#21
Z: 赞赏个人主页。点赞回馈#21
AA: 赞赏个人主页。点赞回馈#21
AB: 赞赏个人主页。点赞回馈#21
AC: 赞赏个人主页。点赞回馈#21
AD: 赞赏个人主页。点赞回馈#21
AE: 赞赏个人主页。点赞回馈#21
AF: 赞赏个人主页。点赞回馈#21
AG: 赞赏个人主页。点赞回馈#21
AH: 赞赏个人主页。点赞回馈#21
AI: 赞赏个人主页。点赞回馈#21
AJ: 赞赏个人主页。点赞回馈#21
AK: 赞赏个人主页。点赞回馈#21
AL: 赞赏个人主页。点赞回馈#21
AM: 赞赏个人主页。点赞回馈#21  
AN: 赞赏个人主页。点赞回馈#21
AO: 赞赏个人主页。点赞回馈#21
AP: 赞赏个人主页。点赞回馈#21
AQ: 赞赏个人主页。点赞回馈#21
AR: 赞赏个人主页。点赞回馈#21
AS: 赞赏个人主页。点赞回馈#21
AT: 赞赏个人主页。点赞回馈#21
AU: 赞赏个人主页。点赞回馈#21
AV: 赞赏个人主页。点赞回馈#21
AW: 赞赏个人主页。点赞回馈#21
AX: 赞赏个人主页。点赞回馈#21
AY: 赞赏个人主页。点赞回馈#21
AZ: 赞赏个人主页。点赞回馈#21
BA: 赞赏个人主页。点赞回馈#21
BB: 赞赏个人主页。点赞回馈#21
BC: 赞赏个人主页。点赞回馈#21
BD: 赞赏个人主页。点赞回馈#21
BE: 赞赏个人主页。点赞回馈#21
BF: 赞赏个人主页。点赞回馈#21
BG: 赞赏个人主页。点赞回馈#21
BH: 赞赏个人主页。点赞回馈#21
BI: 赞赏个人主页。点赞回馈#21
BJ: 赞赏个人主页。点赞回馈#21
BK: 赞赏个人主页。点赞回馈#21
BL: 赞赏个人主页。点赞回馈#21
BM: 赞赏个人主页。点赞回馈#21
BN: 赞赏个人主页。点赞回馈#21
BO: 赞赏个人主页。点赞回馈#21
BP: 赞赏个人主页。点赞回馈#21
BQ: 赞赏个人主页。点赞回馈#21
BR: 赞赏个人主页。点赞回馈#21
BS: 赞赏个人主页。点赞回馈#21
BT: 赞赏个人主页。点赞回馈#21
BU: 赞赏个人主页。点赞回馈#22
",0
"B: 荣耀 队伍 资料
",0
"A: 有人帮我carry #17吗?  \n  
A: 有人帮我carry #17吗?  \n
A: 有人帮我carry #17吗?  \n
B: 为我的莱拉#16一个好坦克,北美服  \n
B: 为我的莱拉#16一个好坦克,北美服  \n
B: 为我的莱拉#16一个好坦克,北美服  \n  
A: 有人帮我carry #17吗?  \n
C: 给我的安吉拉一个主输出,美服  \n
B: 为我的莱拉#16一个好坦克,北美服  \n
A: 有人帮我carry #17吗?  \n
A: 有人帮我carry #17吗?  \n
A: 有人帮我carry #17吗?  \n
C: 给我的安吉拉一个主输出,美服  \n
B: 为我的莱拉#16一个好坦克,北美服 \n
C: 给我的安吉拉一个主输出,美服  \n
C: 给我的安吉拉一个主输出,美服  \n
B: 为我的莱拉#16一个好坦克,北美服  \n
A: 有人帮我carry #17吗?  \n  
D: 美服多角色荣誉王者排位  \n
B: 为我的莱拉#16一个好坦克,北美服  \n
A: 有人帮我carry #17吗?  \n
D: 美服多角色荣誉王者排位  \n
A: 有人帮我carry #17吗?  \n
B: 为我的莱拉#16一个好坦克,北美服  \n 
A: 有人帮我carry #17吗?  \n
A: 有人帮我carry #17吗?  \n
C: 给我的安吉拉一个主输出,北美服  \n
C: 给我的安吉拉一个主输出,北美服 \n
E: Yonsalchichon \n
C: 给我的安吉拉一个主输出,北美服  \n
C: 给我的安吉拉一个主输出,北美服  \n
C: 给我的安吉拉一个主输出,北美服  \n
C: 给我的安吉拉一个主输出,北美服 \n
C: 给我的安吉拉一个主输出,北美服  \n
C: 给我的安吉拉一个主输出,北美服  \n
C: 给我的安吉拉一个主输出,北美服 \n  
C: 给我的安吉拉一个主输出,北美服  \n
C: 给我的安吉拉一个主输出,北美服  \n
C: 给我的安吉拉一个主输出,北美服  
",0
,0
"B: nit#83
C: 我1个人 trio 排位  
A: mythic邀请
B: hi#64
C: 邀请需要中单的
D: 排位邀请
E: 马上邀请
C: 邀请1个人
",0
"B: I didn't mean it  
C: it's okay, just buff it
A: 52530
",0
"B:要是给我注意吗?\n
A:这是韩国人的战术。\n
B:你不能让一个自恋者丢脸。\n
A:如果三排我会认真的。\n   
B:你以前被我羞辱5局的时候不这么说的。\n
A:单排我只会练英雄。\n
B:哥们你真会装逼。\n
A:如果看我单排,不要带主英雄来。\n
B:只会让他更自大,兄弟。\n   
C:什么好ADC啊!\n
D:带安吉拉又不违规。\n
C:你以为你比我这个辅助强?!哈哈哈!\n
D:哈哈哈哈!\n
C:我都不知道你是谁。\n
D:我喜欢!
",0
"B: Haha
A: Who are you?
B: Let's go!
A: Yay!
B: Haha
A: 1v1 me!
B: 1v1?
A: Let's play later! 
B: Okay!
A: Later!
B: Let's play!
C: We're late to the game bro!
B: Haha gotta go fast!
",0
"B: No Translation
C: No Translation 
D: di tanah (on the ground)
E: oke siyang (okay bro) 
F: 52530
G: No Translation
H: No Translation
I: No Translation
J: lu gapunya ibu belagu (you don't have a mother to be arrogant)
",0
"
A:哈哈哈哈

A:哈哈哈哈

1:对不起网络不好  

1:网卡了  

1:哈哈哈哈

2:是的  

2:我真高兴  

2:哈哈哈哈

2:哈哈哈哈

2:哈哈哈哈 

1:哭得更厉害吧

1:我要和弗兰科去抢人头

3: 50794
",0
,0
"B: wkwk pì ma
",0
"A:查看我的个人资料\n 像我的个人资料!\n B:-1 等级\n C:-1 等级\n D:-1 等级\n E:-1\n F:-1\n G:-1\n H:-1\n I:-1\n J:-1\n K:-1\n L:-1\n M:-1\n N:-1\n O:-1\n 像我的个人资料!\n A:查看我的档案\n B:-1\n C:-1\n D:-1 等级\n E:-1 等级\n F:-1\n G:-1\n H:-1 等级\n I:-1\n J:-1
",0
,0
,0
,0
"B: Anyone in Istanbul looking to drink whiskey, add me, let's get to know each other
A: Anyone in Istanbul looking to drink whiskey, add me
B: Anyone in Istanbul looking to drink whiskey, add me
A: Anyone in Istanbul looking to drink whiskey, add me
B: Anyone in Istanbul looking to drink whiskey, add me
",0
"B: are you single ?
C: why do you keep killing me haha
D: are you a baby?
A: lance
E: baby lance
F: lance before the game ends I have a question haha
G: lance don't kill me
H: wow baby?
I: haha
",0
,0
