Symptom,故障分类
"
想知道装一个呼吸门控要多少钱。
",备件/商务咨询
"
请告知如何将位于某城市某健康管理体检中心的设备移至某城市某医院。
",备件/商务咨询
"
客户询问了某设备升级的相关事宜,希望能增加一个床的进出功能。
",备件/商务咨询
"
报价需求,购买油箱一批。
",备件/商务咨询
"
客户要安装UPS,想询问UPS的具体型号。
",备件/商务咨询
"
踩踏板进坏掉床踩踏板坏掉
",备件/商务咨询
"
麻烦您说一下,您需要什么样的报价?
",备件/商务咨询
"
请求商务同事给我球馆的报价
",备件/商务咨询
"
某先生想咨询一下想要购买束腹带的问题
",备件/商务咨询
"
希望得到新大楼搬迁所需要支付的费用的相关说明
",备件/商务咨询
"
我要咨询设备的续保费问题。
",备件/商务咨询
"
我想问下移机要多少费用。
",备件/商务咨询
"
保险即将到期,想要查询一下延长保险的价格
",备件/商务咨询
"
购买了球管。
",备件/商务咨询
"
购买技术保修咨询价格。某先生 13281183452
",备件/商务咨询
"
某客户想要知道执行保养的价格。
",备件/商务咨询
"
客户告知我,这台后处理工作站要移机。
",备件/商务咨询
"
医院上级部门不给医院客户电话,想咨询家庭医生上门诊疗收费标准
",备件/商务咨询
"
我需要购买一个备件,备件号是51724103
",备件/商务咨询
"
操作隔室的价格
",备件/商务咨询
"
CT DR MR设备,要买几台设备的保修。
",备件/商务咨询
"
某先生想备一个球管
",备件/商务咨询
"
我对电容报价感兴趣。
",备件/商务咨询
"
您想咨询设备是否可以安装慧眼app,需要我们提供一下具体的安装方案,是这个意思吗?
",备件/商务咨询
"
扫描床仍无法移动,关机重启后出现E01错误
",床
"
不能移动扫描床
",床
"
床不能出入
",床
"
扫描突然中断了,仔细检查一下是不是由于床的升降或进床导致的
",床
"
总停床一做
",床
"
病人说话声音小听不清楚,下床时床发出吱吱响声。
",床
"
机床在机架里不能移动。
",床
"
移动不了床板
",床
"
某先生反应卧室用具提升下降功能失灵紧急等级:高
",床
"
动不能床。
",床
"
问题移动床的有
",床
"
进出床时会发出异响,有时床不能动
",床
"
床将不下降来了
",床
"
床上无法进入
",床
"
卡住的床,无法进出
",床
"
该款床无法实现预期的升降功能
",床
"
扫描仪在床上无法下降。
",床
"
可以进床,可以升床,但是不能降床
",床
"
当进出时,它会停止运行
",床
"
床的扫描被停止了
",床
"
由于控制面板故障,导致床下降后会自动回到原位,不能正常使用。
",床
"
扫描功能的床不能调节高度
",床
"
我房间的床进不去,L级紧急,我需要更换
",床
"
该款升降床操作不便。  
",床
"
升降功能异常的CT诊断床
",床
"
升降功能无法正常工作
",床
"
锁住了床。
",床
"
某客户表示,自己买的床使用至最低位置后就无法继续抬高或移位。
",床
"
部分硬件停止扫描,不能预热。驱动器电源被禁用
",扫描架
"
某先生感叹号,设备故障。重启后可短时间使用,后又现同问题。/优先级:高/硬件:故障无法运行
",扫描架
"
ct运行revolution程序报错
",扫描架
"
硬件扫描部分出现故障停止了
",扫描架
"
某先生反馈,显示器经常提示没有输入信号,机架也不能正常复位
",扫描架
"
空调不能正常工作了
",扫描架
"
不曝光扫描导致系统无法启动。
",扫描架
"
机架的显示屏不亮,控制面板上的灯也没有亮起。/紧急程度:高/机架/The display screen of the gantry is not lit and the lights on the control panel are also not turned on.
",扫描架
"
轮滑使用中的滑环异常。
",扫描架
"
预热期间,发出了一声极其巨大的爆响声。
",扫描架
"
机架不能断电是我们当前的首要任务。
",扫描架
"
未在扫描架上发现扫描硬件,紧急程度高。
",扫描架
"
进行螺旋扫描时设置不了角度
",扫描架
"
设备在扫描时偶发性中断,但是重启后就恢复正常
",扫描架
"
扫描架上的机架,面板一侧出现了故障,紧急程度高。
",扫描架
"
扫描时通信发生故障导致系统报错阻止了扫描
",扫描架
"
扫描硬件未发现,重启不改变这种情况
",扫描架
"
不能正常扫描
",扫描架
"
控制面板的一侧失去了功能
",扫描架
"
机架内部发出很大的噪声
",扫描架
"
机架不能升起来了
",扫描架
"
加热器与风扇都发生了故障。
",扫描架
"
断电后机架开不起来
",扫描架
"
无法将电脑连接到机器上
",扫描架
"
硬件发生了扫描失败。
",扫描架
"
使用时能听到一些不寻常的声音
",扫描架
"
主机一开机声音就响个不停。
",扫描架
"
老是重启机架
",扫描架
"
开机后硬件未找到,提示关机不能正常扫描
",扫描架
"
主机噪声大,同时机架也报错了。
",扫描架
"
机架失去了电力
",扫描架
"
不能启动机架
",扫描架
"
不能扫描电机故障
",扫描架
"
机架的变压器故障导致机架自动断电,紧急程度高。
",扫描架
"
起不来问题是机架
",扫描架
"
机架部署的网络状态异常
",扫描架
"
机器扫描功能出现故障时不让我扫描
",扫描架
"
在患者列表中点击选择患者,未看到患者名称
",扫描架
"
控制器的按钮无法控制机架
",扫描架
"
机器发出异响
",扫描架
"
复位机架的操作出现了故障。
",扫描架
"
硬件上有错误
",扫描问题
"
预热功能无法启动。
",扫描问题
"
头部扫描时没有获得图像
",扫描问题
"
扫描架无法链接,经常因为重置失败
",扫描问题
"
扫描时出现了中断的情况
",扫描问题
"
硬件扫描突然停止
",扫描问题
"
三维骨重建时出现伪影,紧急程度高。因扫描问题导致其他伪影。
",扫描问题
"
这台电脑断断续续死机了3次。
",扫描问题
"
图像无法被扫描仪扫描出来
",扫描问题
"
机架感叹号无法利用按复位键解决
",扫描问题
"
扫描不了,有一股古怪的气味
",扫描问题
"
扫描图表时不能拆分
",扫描问题
"
页面右下角使用时偶尔提示扫描重置失败错误。
",扫描问题
"
空气校准报错,并带来图像伪影问题
",扫描问题
"
扫描时会间歇性地停止
",扫描问题
"
可能需要更换球管,需要查阅后台信息
",扫描问题
"
开机过程中出现了一些问题
",扫描问题
"
图像定位出来后,扫描只能扫一层就停止工作,应该是硬件故障导致扫描部分中断,之后某客户致电表示机器已恢复正常,但仍想让工程师查看报错信息。
",扫描问题
"
扫描时有报错,不能正常扫描
",扫描问题
"
扫描动脉时硬件故障无法进行扫描。紧急程度高。
",扫描问题
"
扫描程序无法启动
",扫描问题
"
球管可能损坏了,导致无法扫描
",扫描问题
"
硬件的扫描功能停止了
",扫描问题
"
扫描仪硬件故障无法重启/紧急程度高/扫描问题:某扫描仪硬件不能重置
",扫描问题
"
早上7点半左右曝光有问题,机器重启后恢复正常了,跟昨天一样。
",扫描问题
"
快速空气校正后,腹部环形伪影仍在。
",扫描问题
"
心电图扫描结果异常,冠脉检查无法出图
",扫描问题
"
重置失败,因为开机时没有检测到扫描硬件
",扫描问题
"
扫描遇到故障
",扫描问题
"
硬件检测未发现问题。
",扫描问题
"
由于中断了扫描,所以图像质量很差
",扫描问题
"
扫描只显示了肺的总体数值,没有显示肺的详细情况
",扫描问题
"
无法联系操作盘,扫描卡顿,已无法扫描
",扫描问题
"
在进行头部和腹部扫描时,出现了环形伪影
",扫描问题
"
病人在扫描过程中突然中断,重启扫描仪加热功能失效
",扫描问题
"
扫描后床无法移动,提示继续扫描,点击后重复出现,无法完成整个扫描
",扫描问题
"
不能被扫描了机器
",扫描问题
"
相不出来定位
",扫描问题
"
硬件扫描部分停止,使得无法进行曝光操作。
",扫描问题
"
硬件故障导致无法扫描
",扫描问题
"
硬件匹配出现问题,无法进行扫描
",扫描问题
"
扫描无法自动进行
",扫描问题
"
扫描了定位像后,浏览器就报错了,之后扫描不了了
",扫描问题
"
屏幕上的机架上面有一个叉的符号
",扫描问题
"
硬件扫描部分停止了
",扫描问题
"
不能按重置按钮扫描,客户说要显示重置按钮,但不知道重置按钮在哪里
",扫描问题
"
扫描硬件已停止进行任何扫描
",扫描问题
"
fov设置过大的镜头会产生伪影。
",扫描问题
"
扫描功能在某硬件上停止了
",扫描问题
"
由于管球过热,需要等待100分钟才能继续使用设备,校准扫描功能出现故障无法正常工作
",扫描问题
"
头颅扫描中出现伪影。
",扫描问题
"
病人登记时不允许扫描。
",扫描问题
"
高压打火,扫描有问题
",扫描问题
"
相扫不能定位
",扫描问题
"
这台机器停机导致不能扫描
",扫描问题
"
硬件故障触发扫描不再进行
",扫描问题
"
由于硬件故障,扫描仪无法扫描出图像。
",扫描问题
"
屏幕上显示出了一圈一圈的像是虚影的东西
",扫描问题
"
扫描无法正常校准,紧急程度高,校准过程中出现无法完成的问题。
",扫描问题
"
扫描病人时屏幕报警且无法工作,重启后恢复,但是开机会蓝屏。
",扫描问题
"
扫描硬件未被发现
",扫描问题
"
当扫描仪对文件扫描到一半时,突然断开了连接。
",扫描问题
"
扫描过程频繁被中断
",扫描问题
"
硬件连接不能。
",扫描问题
"
硬件出了问题。
",扫描问题
"
二维码无法扫描
",扫描问题
"
硬件上出现了故障
",扫描问题
"
扫描仪上的准直器出现故障报错,使扫描过程无法正常开始,紧急程度高需尽快排查解决
",扫描问题
"
硬件扫描时出现问题,出保报错
",扫描问题
"
不能扫描,扫描问题紧急程度高
",扫描问题
"
定位项打不开,无法扫描
",扫描问题
"
无法用扫描仪扫描出图像。
",扫描问题
"
三维重建扫描不了,薄层序列也不能扫描
",扫描问题
"
设备突然停止了工作
",扫描问题
"
在头部CT检查中出现了伪影
",扫描问题
No <best> found,扫描问题
"
扫描仪的硬件部分在扫描时停止了工作。/紧急程度:高/扫描故障
",扫描问题
"
扫描需要删减内存
",扫描问题
"
增强扫描中出现大面积中断
",扫描问题
"
只扫定了位置,就不给扫描了
",扫描问题
"
预热的时候,硬件扫描器的扫描功能突然不工作了
",扫描问题
"
请求停止扫描。
",扫描问题
"
扫描有假影,紧急程度高,属于其他假影问题。
",扫描问题
"
硬件设备在使用过程中停止了工作。
",扫描问题
"
硬件不能扫描导致显示部分停止扫描/扫描问题/紧急程度高
",扫描问题
"
准直器某问题,定备件需要
",扫描问题
"
扫描无法完成,定位像无法显示
",扫描问题
"
只能完成定位向的扫描,不能进行普通扫描
",扫描问题
"
门控心电有的问题
",扫描问题
"
报错有,重启也行不
",扫描问题
"
硬件的扫描无法进行
",扫描问题
"
硬件的扫描模块停止了扫描
",扫描问题
"
扫描过程被中止
",扫描问题
"
准直器出故障了
",扫描问题
"
质检检测未通过,油箱故障引发错误报告,扫描无法完成
",扫描问题
"
图像存在类似黑影的干扰堆叠。/ 紧迫程度:高/扫描问题:其他假影问题
",扫描问题
"
扫描仪无法扫描,提示硬件出错,找某先生看后,认为是通讯出现问题
",扫描问题
"
球管无法扫描
",扫描问题
"
scanner扫描后图片存在伪影,要如何处理才能去除伪影?
",扫描问题
"
扫描设备故障了,正在为某位病人服务,暂时不太方便远程协助。
",扫描问题
"
无法进行扫描,因此无法为患者做检查
",扫描问题
"
故障校准,扫描故障
",扫描问题
"
不能曝光,要避免自动重启。
",扫描问题
"
硬件部分collimator异响导致扫描停止
",扫描问题
"
频繁报错,部分硬件扫描停止,无法定位
",扫描问题
"
我紧急要求停止扫描,因为扫描出现了问题
",扫描问题
"
图像失焦了
",扫描问题
"
设备开机后,扫描功能就无法使用了。/紧急程度:高/扫描故障/扫描功能失效
",扫描问题
"
5,扫描脑的时候序列有问题,球管不久前才换的
",扫描问题
"
扫描时报错,X线管安装未获得系统认可
",扫描问题
"
头部出现了一些虚影。
",扫描问题
"
扫描半道就停下来了,图像没有完全生成
",扫描问题
"
该设备无法使用
",扫描问题
"
定位项做好了不往下继续了
",扫描问题
"
部分硬件出现故障导致机器不能进行扫描
",扫描问题
"
不能实现扫描功能,重建可能存在问题。
",扫描问题
"
请今日派工,详情需要保密
",扫描问题
"
中断由硬件扫描引起
",扫描问题
"
报错不能扫描球管
",扫描问题
"
硬件扫描模块失效,无法进行扫描操作,紧急程度高。
",扫描问题
"
硬件故障导致扫描停止工作,无法进行校准,重启设备后问题仍未解决
",扫描问题
"
扫描时突然闻到异味,为确保安全请停止扫描。
",扫描问题
"
机器无法扫描它
",扫描问题
"
设备有时会出现硬件停止扫描报错,偶尔也会出现按扫描键不扫描的情况
",扫描问题
"
今天机器用不了了,这是由于昨天停电引起的。
",扫描问题
"
不能做冠脉。
",扫描问题
"
在我扫完定位线后,电脑突然当机死掉
",扫描问题
"
硬盘现在提示错误
",扫描问题
"
有故障需要报修。
",扫描问题
"
由于TGP故障,机器无法进行扫描,重启机架使机器恢复可用状态
",扫描问题
"
大关机后,硬件部分仍然继续不停止扫描。
",扫描问题
"
头部CT检查显示环形状假影
",扫描问题
"
不能扫描的故障报修,紧急程度高。
",扫描问题
"
图像上伪影影响非常严重
",扫描问题
"
扫描时伪影显现
",扫描问题
"
扫描硬件无法进行扫描
",扫描问题
"硬件未检测到,排除故障依然无解",扫描问题
"
扫描时会发出异样的响声
",扫描问题
"
某部位扫描遭到拒绝
",扫描问题
"
建议停止扫描,球管可能有问题。
",扫描问题
"
扫描时探测器故障导致出现伪影。
",扫描问题
"
不得扫描架电
",扫描问题
"
不真实的条形映像
",扫描问题
"
硬件出了问题,拍不了照片
",扫描问题
"
扫描功能出现故障导致扫描停止
",扫描问题
"
头颅做过有伪影
",扫描问题
"
当在对球管进行预热时,硬件停止了扫描过程
",扫描问题
"
一直亮着的扫描键无法开始扫描
",扫描问题
"
硬件扫描中断次数多,电源状态是否不稳
",扫描问题
"
29号有报错,球管已更换
",扫描问题
"
问题准直器,不能扫描/紧急程度:高/准直器不能扫描
",扫描问题
"
定位扫描功能无法使用。 
",扫描问题
"
硬件扫描遇到故障。
",扫描问题
"
在视野周围看到了环形的影像
",扫描问题
"
头像区域出现了不真实的影子效果
",扫描问题
"
扫描硬件没有被找到,因此报错
",扫描问题
"
扫描器提示内存已满,不知如何删除之前扫描的信息
",扫描问题
"
扫描硬件的扫描功能莫名其妙地停止了扫描。
",扫描问题
"
扫描识别系统异常
",扫描问题
"
机器无法扫描正常
",扫描问题
"
扫描第二位病人时突然不能扫描,感到非常着急
",扫描问题
"
3D扫描环形虚影
",扫描问题
"
扫描时提示需要冷却球管,扫描后没有定位图像输出。
",扫描问题
"
报错扫描不能使用。高级别的报错
",扫描问题
"
不能后面扫了,前面定位向可以扫
",扫描问题
"
扫描结束后,屏幕上并未显示扫描得到的图像
",扫描问题
"
开机后探测器温度不足提示是由停电导致
",探测器
"
伪影这个词语到底表达了什么含义?能不能详细解释一下?
",探测器
"
图像质量出现问题,请及时处理。
",探测器
"
探测器温度异常导致图像质量下降
",探测器
"
提示模块过热导致不能校准
",探测器
"
图像存在伪影,请检查操作流程,查看高压电池和图像质量电池,需要查看校准和探测器。
",探测器
"
5. 主机传给PACS的数据出现了缺失
",探测器
"
病人图像有环形伪影空校仍然有伪影,空校后伪影依然存在环形。
",探测器
"
检测到有环形伪影问题/紧急程度高/有环形伪影存在
",探测器
"
探测器工作时因伪影产生干扰。
",探测器
"
探测器产生同心圆伪影
",探测器
"
非常大的环形伪影
",探测器
"
探测器的温度不合适
",探测器
"
图像模糊不清晰
",探测器
"
我一直受这个环形视觉暗示的困扰
",探测器
"
伪影见于颅脑部位
",探测器
"
提示一直不合适,探测器的温度
",探测器
"
由于温度异常,检测器发生故障无法扫描,这影响了对病人的检查。
",探测器
"
服务器在断电后没有作出任何响应
",操作台
"
系统在运行中遇到了错误导致了死机的问题。
",操作台
"
图像传不回pacs
",操作台
"
主机重启了也不行,开机起不来
",操作台
"
机关机键失灵
",操作台
"
工作站已经不能正常运行了
",操作台
"
起不下来的重启
",操作台
"
系统进不去/紧急程度高/操作台不能进入系统
",操作台
"
操作台的主机开机失败,这是一个高紧急程度的问题。
",操作台
"
重启进入黑屏状态,无法传输数据,扫描仪屏幕显示许多数字
",操作台
"
前几天我的电脑一直提示84错误,我换了电源但问题依然存在,导致现在计算机已经宕机了。
",操作台
"
系统无法启动管理
",操作台
"
界面进入不了
",操作台
"
我的手机卡住不能使用,请求帮忙重启试试
",操作台
No <best> found,操作台
"
主机已经不工作不能正常运转。紧急程度高。
",操作台
"
无法重新构建。
",操作台
"
23号换的新球管后,机器常常死机,只有重启才能恢复正常。
",操作台
"
与主机相连后电脑就不能开机了
",操作台
"
不能启动因断电。
",操作台
"
运行时报告未定义错误
",操作台
"
设备突然断电后重启,三维不能打开了
",操作台
"
由于三维重建没有开始,图像无法进行重建。
",操作台
"
紧急程度高,主机无法启动,重启不了
",操作台
"
设备不能正常启动,按按键电源也无任何响应
",操作台
"
病人力所不能及
",操作台
"
开机时系统提示报错信息
",操作台
"
看样子进行不下去了。
",操作台
"
图像无法被输出因为数据库异常
",操作台
"
服务器没有及时响应用户请求
",操作台
"
无法重建图像
",操作台
"
主机开不起来
",操作台
"
进入系统不能。
",操作台
"
图片删除有困难,内存已满,请您尽快处理,非常感谢!
",操作台
"
主机在扫完头部即将扫胸部时突然死机,需要重启
",操作台
"
开机后页面长时间无法进入的原因想弄明白是什么。
",操作台
"
显示器两块都黑屏了,重启无效还是不能开机
",操作台
"
最近两天计算机扫描后都会卡死,需要重启才可恢复,工作效率下降,每天比平常慢1分钟,怀疑主板故障,要求更换主机主板。
",操作台
"
登录时提示秘钥错误导致无法进入系统,请帮忙核查/紧急程度:高/操作台出现问题
",操作台
"
屏幕呈现白色空白
",操作台
"
操作台图像不能重建,图像不能重建,紧急程度高
",操作台
"
未在停机扫描后自动重建图像
",操作台
"
服务器电源故障,系统显示紧急程度高,请立即处理
",操作台
"
图像无法重建
",操作台
"
副台启动不了
",操作台
"
图像没有被输出
",操作台
"
重启后 CT 机就开不了了,机器之前提示有内存不足
",操作台
"
硬盘损坏导致无法重建图像,这是一个高优先级且非常紧急的问题。
",操作台
"
后处理重建为什么打不开
",操作台
"
扫描时无任何图像显示/高优先级/操作台说明扫描图像不出现
",操作台
"
操作台图像无法重建/存在问题/重建/紧急程度高
",操作台
"
标识缺失的三位重建
",操作台
"
机器运行非常缓慢,使我无法进行操作。紧急程度:高/主机:机器无法正常启动
",操作台
"
重建因为状态关闭而无法进行。
",操作台
"
由于死机,我要进行重建。
",操作台
"
工作无法进行
",操作台
"
开机开不起来。
",操作台
"
不存在图像
",操作台
"
开机失败,重启没有用
",操作台
"
机器启动不了
",操作台
"
主机弹框报出错误代码
",操作台
"
扫描图片时页面出现无法识别的图形
",操作台
"
图像重建以后测量就不可行了。
",操作台
"
某先生的电脑在断电后无法重新启动,紧急程度高,操作台显示主机问题。
",操作台
"
由于PDU报错,硬件设备的部分扫描功能停止了。
",操作台
"
开机自检没有通过导致病人列表不能刷新
",操作台
"
紧急程度高,主机自动关机
",操作台
"
某先生的操作台开机后不显示定位像,不停地自动关闭,重启后依然关闭。紧急程度高。
",操作台
"
在启动时如果重建没有完成,某公司的这个产品就会自动关机
",操作台
"
不能通过开机键启动设备
",操作台
"
工作站的系统进不去,开不了机器
",操作台
"
编码器故障重建系统
",操作台
"
机器开关机时故障发生
",操作台
"
设备处于停电状态,因此无法启动。
",操作台
"
CT主机的软件无法启动
",操作台
"
机架操作台主机启动不起来,紧急程度高/主机故障
",操作台
"
无法关掉机器
",操作台
"
开机时卡住不动了
",操作台
"
开机设备失灵
",操作台
"
主机球管突然发出了打火声,紧急程度高。
",操作台
"
手机卡机的问题要如何解决?
",操作台
"
设备自动关闭运行
",操作台
"
设备发生了故障,无法启动。
",操作台
"
无法重建。
",操作台
"
主屏幕开启不了
",操作台
"
屏幕突然黑屏,电脑无法启动
",操作台
"
启不动启动
",操作台
"
球管故障引起球管损坏,紧急程度高。
",球管/高压
"
上个月换球管后,出现扫描停止,硬件停止和异响三个问题
",球管/高压
"
球馆出现问题
",球管/高压
"
某球管健康监控系统自动触发报警
",球管/高压
"
球管换上去有时候会出现扫描中止
",球管/高压
"
报错是后台打火引起的
",球管/高压
"
预热球管时检测到报错。
",球管/高压
"
管子坏了,希望尽快来处理。
",球管/高压
"
管球发声时有嘈杂声音
",球管/高压
"
球管故障需要尽快处理,属于紧急程度高的问题。
",球管/高压
"
硬件故障导致无法预热
",球管/高压
"
去做校正需要工程师球管
",球管/高压
"
硬件故障引起明显的重影问题
",球管/高压
"
预热被球管不批准
",球管/高压
"
球管/打火/紧急程度:高
",球管/高压
"
问题来自于篮球。
",球管/高压
"
买了一年多的机器现在还是有故障没有排除。
",球管/高压
"
不能对患者使用打火机点燃球管,不可以公开患者隐私
",球管/高压
"
操作时提示报错信息,我猜测硬件可能存在问题。
",球管/高压
"
预热与曝光无法正常进行
",球管/高压
"
球管发生故障造成无法正常工作。
",球管/高压
"
提示硬件重置不成功导致球管高压不能预热,紧急程度高
",球管/高压
"
由于球管小焦故障,无法进行扫描
",球管/高压
"
无法再进行曝光了
",球管/高压
"
六月份换球馆后有异响
",球管/高压
"
ACT高压处出现点火,不排除球管故障的可能。紧急程度高,与球管相关,高压位置点火。
",球管/高压
"
高压发生器被点火了
",球管/高压
"
已无可再增曝光,应解除限制尽早终结。
",球管/高压
"
八月二十四号换上的球管不久就坏掉了
",球管/高压
"
联系过某先生,无法加热
",球管/高压
"
扫描定位时出现条条伪影,不能扫球管的足侧。
",球管/高压
"
球管灯丝断裂,请您尽快进行处理。
",球管/高压
"  
射线不出球馆/紧急程度:高/球管:射线不出球馆
",球管/高压
"
预热功能无法使用
",球管/高压
"
异响来自管子
",球管/高压
"
购买的球管使用不到2个月就出现故障了,质量问题很严重,需要尽快进行换管。
",球管/高压
"
机器上有渗油
",球管/高压
"
报警由球管发出,FE确认油泵出现故障。
",球管/高压
"
在使用高压注射器为病人注射药物时,设备发出了报警信号。
",球管/高压
"
图像显示有问题,球管打火
",球管/高压
"
设备产生奇怪声音
",球管/高压
"
刚换的球管出现问题,换的日期是1月3号
",球管/高压
"
不可以公开,曝光几次
",球管/高压
"
球管扫描突然停止了
",球管/高压
"
低压扫描可以进行,但高压扫描无法进行,推测球馆存在问题
",球管/高压
"
平扫曝光不能胸部
",球管/高压
"
是否因球管故障造成不能曝光,请查看球管情况,紧急程度高
",球管/高压
"
The Trigger for Tube Health Monitoring shall be checked.
",球管/高压
"
小油箱已坏不了。
",球管/高压
"
供电启动失败,客户认为球管无关。希望工程师排除其他故障原因。
",球管/高压
"
无法进行曝光校准
",球管/高压
"
灯丝坏了一个,球管使用不灵光,必须校准灯丝。
",球管/高压
"
22毫安以下的曝光值是不被允许的
",球管/高压
"
注视焦点产生了移位
",球管/高压
"
3 坏了球馆的大焦点
",球管/高压
"
某客户反馈远程监视时提示某板卡故障,类似故障今天上午9点24分就已经出现过一次。
",球管/高压
"
曝光有打角度的问题
",球管/高压
"
高压打火故障,可能原因是油箱或球管
",球管/高压
"
设备上漏油了
",球管/高压
"
风扇噪音很大,球管打火时有卡顿情况
",球管/高压
"
管温度报球过高
",球管/高压
"
球管对火进行了打  
",球管/高压
"
新安装的打火装置,球管无法点燃
",球管/高压
"
该高压注射器不能正常运转。
",球管/高压
"
用户反馈偶尔在早上开机时主机会无法开机,会提示读取硬件失败,并在进入预热程序后无法完成正常曝光
",球管/高压
"
11月更换的球管,目前存在伪影问题
",球管/高压
"
球管这里出现问题,使得扫描功能无法正常使用。
",球管/高压
"
管球导致声音非常大
",球管/高压
"
不能使球管暴露在外,否则会损坏。
",球管/高压
"
无法扫描,之前找过工程师某先生,可能是球管故障了。
",球管/高压
"
某高管表示不能公开一项紧急事务。
",球管/高压
"
某用户反馈说球管出现异常声音
",球管/高压
"
未安排放射线检查
",球管/高压
"
焦点大断了管球管
",球管/高压
"
系统日志显示储存已满,即使清空存储也显示存储空间不足不能继续操作。
",球管/高压
"
某球馆出现了问题,想询问一下。
",球管/高压
灯管出现故障,球管/高压
"
手机屏幕突然变黑了。
",球管/高压
"
设备在更换球管后,显示出了伪影
",球管/高压
"
球管下面全是油
",球管/高压
"
扫描过程中禁止图像接触光线,紧急程度高,某管为高压,图像不能曝光。
",球管/高压
"
不能扫描的球管问题
",球管/高压
"
按键灰色,不能曝光,曝光按键是
",球管/高压
"
硬件故障导致曝光模块失效,无法进行正常扫描。据判断故障部件可能是今年6月新换的硬件。
",球管/高压
"
某医院某台CT扫描仪球管开放性管丝导致无法扫描,紧急程度高。
",球管/高压
"
球馆里发出异响
",球管/高压
"
预热功能无法使用的球管
",球管/高压
"
管球报错
",球管/高压
